block,NumSp,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
R4_b3,4,1946.4699,1610.8688,1122.0737,948.5705,1031.086,743.7579000000001,616.9242999999999,361.18699999999995,220.987,805.109,402.35,636.0260000000001,408.56000000000006,511.488,489.305,433.233,496.966,442.7219999999999,418.446,340.459,287.759,245.63600000000002
R4_b4,4,1513.2401999999997,1015.2953,792.1501000000001,650.3650999999998,549.7102,482.76180000000005,428.8407,282.708,168.191,744.0809999999999,393.21899999999994,506.53200000000004,423.6650000000001,408.034,436.037,415.236,354.44800000000004,396.959,336.69899999999996,289.46999999999997,258.823,221.66600000000003
R4_b5,4,1777.7431000000001,1419.3042999999998,1052.1801,990.0559,996.2843999999999,773.6848,647.8776999999999,361.151,257.383,814.381,373.09600000000006,500.09499999999997,449.18,463.5830000000001,445.12299999999993,378.51300000000003,478.9150000000001,412.838,389.48999999999995,315.35600000000005,294.303,219.594
R4_b6,4,2034.5194,1504.5942,1000.1059000000001,1090.9525,831.2627,833.2942999999999,629.8086999999998,401.699,252.533,840.311,376.246,501.29800000000006,400.093,501.30300000000005,495.0419999999999,471.35599999999994,456.3929999999999,429.57399999999996,437.9219999999999,326.746,270.581,259.017
R4_b7,4,1873.3497,1445.2095,979.0098999999998,967.6067999999999,948.8942999999999,860.8328000000001,625.0747000000001,354.6809999999999,277.5210000000001,797.4179999999999,411.0780000000001,564.8439999999999,407.97299999999996,382.174,485.265,466.28099999999995,424.3380000000001,462.117,424.58000000000004,293.745,259.619,272.16400000000004
R4_b8,4,1583.7863,1184.1752999999999,917.6919,727.4026,749.4421999999998,677.7085,527.1508000000001,321.16,184.805,813.246,444.592,533.3430000000001,469.613,412.24712,458.774,436.59800000000007,404.428,430.276,378.675,302.727,250.14600000000002,237.39499999999998
R4_b9,4,1645.2468000000001,1356.0515,868.1935999999998,741.6674999999999,798.3189,642.148,521.6754,340.538,205.311,850.118,417.05,551.013,497.83299999999997,437.81100000000004,488.74799999999993,444.96899999999994,404.986,427.437,385.385,327.03900000000004,278.338,247.419
R4_b10,4,1796.2100999999998,1478.3102000000003,1135.4167,933.1181999999999,968.9658000000002,753.8190999999999,623.7138000000001,355.96000000000004,233.00519999999997,870.0889999999999,435.1429999999999,577.769,441.8659999999999,437.83900000000006,529.386,427.39799999999997,433.36800000000005,452.706,382.96500000000003,326.377,262.65000000000003,237.998
R4_b11,4,1624.5531,1264.5404999999996,884.5316999999999,763.9562,775.6914,707.3472,586.738,379.31000000000006,196.794,772.9929999999999,367.50699999999995,411.271,404.44199999999995,390.46912000000003,437.129,367.492,405.416,380.35900000000004,387.58500000000004,281.93500000000006,217.66000000000003,224.757
R4_b12,4,1983.0397999999998,1539.6529000000003,1144.6175,1109.4089,898.9384,856.622,618.4375,451.89199999999994,243.82900000000004,864.9010000000001,418.12000000000006,564.869,455.16999999999996,453.63499999999993,532.7099999999998,446.81899999999996,454.253,465.617,417.61400000000003,294.28800000000007,266.017,265.928
